FEMUR:,,,,,,,,,,,,,,,,,,,,
measures in mm,,A,-,B,-,-,D,F,H,C,E,G,J,Steadman (1980),,,,,,
TURK#,Site,GL,Lm,Bp,Dp,SC,D,Bd,H,C,E,Dd,J,von den Dreisch (1976),Notes,,,,,
5,Lamanai,-,-,28.3,15.63,11.58,10.98,-,-,9.51,10.41,-,-,,,,,,,
12,Dzibilchaltun,-,105.98,-,14.7,10.75,10.86,25.46,19.47,6.96,10.24,19.55,18.58,,,,,von den Dreisch (1976),,Steadman (1980)
26,Yaxha,-,-,-,-,6.58,-,-,-,-,-,-,-,,,,,GL = greatest length,,A= total length
27,Yaxha,-,-,-,-,10.3,10.3,22.85,-,-,10.27,15.05,-,,,,,LM = medial length,,B = proximal width
73,Lamanai,84.54,80.75,17.18,10.99,7.38,7.43,16.33,11.98,5.16,7.19,10.53,11.66,,,,,Bp = greatest breadth of proximal end,,C = depth of head
84,Lamanai,-,-,-,-,-,-,21.22,19.46,-,-,16.62,15.88,,,,,Dp = greatest depth of proximal end,,D-width of midshaft
97,Lamanai,-,-,-,-,-,-,25.04,18.99,-,-,-,16.6,,,,,,,
101,Lamanai,-,-,-,-,-,-,23.48,18.3,-,-,-,16.76,,,,,Bd = breadth of the distal end,,G = depth of internal condyle
102,Lamanai,87.49,-,-,-,8.75,9.33,-,-,-,8.35,-,-,,,,,Dd = greatest depth of distal end,,J = depth of fibular condyle
104,Lamanai,-,-,-,-,-,-,-,-,-,-,10.91,-,,,,,,,
105,Lamanai,-,-,-,13.96,-,-,-,-,7.33,-,-,-,,,,,,,
180,Lamanai,-,-,-,-,-,8.52,-,-,-,9.04,-,-,,,,,,,
236,Lamanai,-,-,15.01,-,-,-,-,-,8.27,-,-,-,,,,,,,
240,Lamanai,-,-,-,20.28,9.91,10.74,-,-,10.15,10.2,-,-,,,,,,,
242,Lamanai,-,-,-,-,-,-,18.46,15.44,-,-,15.32,13.63,,,,,,,
363,Lamanai,-,-,19.15,14.4,-,-,-,-,6.92,-,-,-,,,,,,,
364,Lamanai,-,-,-,-,-,-,-,-,-,-,11.89,-,,,,,,,
421,Lamanai,-,-,-,-,8.06,8.25,-,-,-,7.16,-,-,,,,,,,
422,Lamanai,-,-,-,-,-,-,25.12,17.31,-,-,-,16.42,,Dd might be undermeasured,,,,,
462,Lamanai,-,-,-,-,-,-,17.07,13.21,-,-,11.41,10.11,,,,,,,
541,Lamanai,-,-,24.73,24.17,10.71,10.79,-,-,8.87,10.24,-,-,,"Bp, Dp, and C might be undermeasured",,,,,
899,Isla Cilvituk,-,-,-,-,-,10.98,-,-,-,9.31,-,-,,,,,,,
923,Isla Cilvituk,-,-,-,-,-,-,-,-,11.04,-,-,-,,,,,,,
2384,Dzibilchaltun,-,-,-,-,7.98,7.83,-,-,-,7.12,-,-,,,,,,,
2386,Dzibilchaltun,-,-,-,-,9.71,-,19.2,14.55,-,-,14.52,13.88,,,,,,,
2400,Dzibilchaltun,96.06,88.8,-,-,9.28,9.33,20.35,16.6,-,8.3,-,16.3,,,,,,,
2429,La Joyanca,-,-,-,-,10.89,10.98,-,-,-,8.78,-,-,,,,,,,
2460,Santa Luisa,-,-,-,-,8.46,-,20.24,15.94,-,-,16.57,14.67,,,,,,,
2506,Colha,-,-,-,-,6.73,-,-,-,-,-,-,-,,,,,,,
2507,Colha,123.93,114.09,27.79,17.56,11.43,12.1,28.4,20.31,10.43,11.36,20.39,19,,,,,,,
2508,Colha,-,-,25.7,20.45,-,-,-,-,9.9,-,-,-,,,,,,,
2514,Colha,-,-,-,-,-,10.55,-,-,10.01,9.2,-,-,,,,,,,
2530,Colha,-,-,24.39,17.85,11.45,11.46,-,-,9.43,10.4,-,-,,,,,,,
2532,Colha,93.03,85.19,21.66,11.55,8.89,8.62,19.32,16.03,-,7.54,-,14.42,,,,,,,
2552,Chalahuites,-,-,-,-,-,-,11.97,10.17,-,-,10.34,-,,,,,,,
2571,Cueva de los Quetzales,-,-,-,-,-,-,13.98,11.49,-,-,8.4,8.98,,,,,,,
2579,Yuc 2,-,,-,-,-,-,27.17,21.01,-,-,-,18.81,,,,,,,
2584,Yuc 2,-,-,-,-,-,-,26.7,19.97,-,-,-,17.2,,,,,,,
2586,Yuc 2,-,-,-,-,-,-,15.12,12.36,-,-,11.56,10.02,,,,,,,
2587,Yuc 2,-,-,15.2,9.82,-,-,-,-,6.32,-,-,-,,,,,,,
2588,Yuc 2,-,-,17.74,11.87,-,-,-,-,6.55,-,-,-,,,,,,,
2589,Yuc 2,82.03,75.58,15.26,11.18,6.47,6.73,15.05,12.18,6.16,7.39,12.38,10.31,,,,,,,
2590,Yuc 2,-,-,16.61,11.85,-,-,-,-,6.36,-,-,-,,,,,,,
2591,Yuc 2,-,-,26.71,17.11,-,-,-,-,10.21,-,-,-,,,,,,,
2621,Piedras Negras,87.18,84.43,14.77,9.59,6.22,6.42,14.13,12.5,6.25,5.98,11.61,11.43,,,,,,,
2659,Cancun,-,-,-,-,9.19,9.24,-,-,-,8.13,-,-,,,,,,,
2697,El Mirador,-,-,-,-,10.37,10.51,-,-,-,9.51,-,-,,,,,,,
2738,Cueva de Duende,-,-,-,-,5.39,-,13.34,9.55,-,-,7.41,7.71,,,,,,,
2742,Caves Branch Rockshelter,-,-,19.64,9.91,-,-,-,-,6.5,-,-,-,,,,,,,
